nombre,atc,estado,fecha_seguimiento,listado
CICLOFOSFAMIDA POLVO ESTERIL PARA RECONSTITUIR A SOLUCION INYECTABLE 500 mg/ vial y 1 g/vial,L01AA01,desabastecido,2026-05-29,activo
CINITAPRIDA + SIMETICONA TABLETA y TABLETA MASTICABLE 1mg + 200mg,A03FA08,monitorizacion,2026-05-29,activo
CIPROFLOXACINA SOLUCIÓN INYECTABLE 100 mg / 10 ml y 200 mg /10 ml,J01MA02,monitorizacion,2025-09-29,activo
CITRATO DE CAFEINA SOLUCION INYECTABLE / SOLUCIÓN ORAL 20 mg/ml,N06BC01,desabastecido,2026-04-30,activo
CLADRIBINA SOLUCION INYECTABLE 2 mg/ml,L01BB04,monitorizacion,2026-06-10,activo
CLEMASTINA SOLUCIÓN INYECTABLE 2 mg / 2 ml,R06AA04,monitorizacion,2026-05-29,activo
CLINDAMICINA CAPSULA DURA 300 mg,J01FF01,monitorizacion,2025-08-29,activo
CLOBAZAM TABLETA 10 mg y 20 mg,N05BA09,monitorizacion,2026-03-31,activo
CLOMIPRAMINA CLORHIDRATO TABLETA DE LIBERACION PROLONGADA 75 mg,N06AA04,monitorizacion,2026-03-26,activo
"CLONAZEPAM SOLUCION ORAL 2,5 mg/ml",N03AE01,monitorizacion,2025-09-23,activo
CLOPIDOGREL TABLETA 75 mg,J01DB01,monitorizacion,2026-04-30,activo
CLORURO DE SODIO 12.8 mg + CLORURO DE POTASIO 1.5 mg + CITRATO DE SODIO DIHIDRATADO 3.4 mg + ACETATO DE SODIO TRIHIDRATADO 7.8 mg + CLORURO DE CALCIO DIHIDRATADO 0.96 mg + CLORURO DE MAGNESIO HEXAHIDRATADO 0.6 mg / 100 ml SOLUCIÓN OFTÁLMICA,S01XA,riesgo,2026-04-30,activo
"CLORURO DE SODIO SOLUCIÓN INYECTABLE 0,9 g / 100 mL (0,9%)",B05XA03,monitorizacion,2025-08-28,activo
CLOZAPINA TABLETA 25 mg y 100 mg,N05AH02,monitorizacion,2026-04-21,activo
"COLECALCIFEROL CÁPSULA BLANDA Y DURA 1000 UI, 2000 UI, 5000 UI, 7000 UI, 14000 UI y 50000 UI",A11CC05,monitorizacion,2026-03-31,activo
DAPAGLIFOZINA TABLETA 10 mg,A10BK01,monitorizacion,2026-05-29,activo
DAPAGLIFLOZINA Y METFORMINA TABLETA RECUBIERTA DE LIBERACIÓN PROLONGADA 5 mg + 1000 mg y 10 mg + 1000 mg,A10BD15,monitorizacion,2026-03-31,activo
"DEFERASIROX TABLETA 180 mg, 250 mg, 360 mg y 500 mg",V03AC03,monitorizacion,2025-10-31,activo
DESMOPRESINA SOLUCIÓN SUBLINGUAL 0.4 mg/ml,H01BA02,monitorizacion,2025-08-29,activo
"DESMOPRESINA SOLUCIÓN INYECTABLE 4 μg/ 0,5 mL, 15 μg/ 1 mL y 20 μg/ 1 ml",H01BA02,monitorizacion,2025-09-02,activo
DEXAMETASONA SOLUCION INYECTABLE 4 mg/2 ml,H02AB02,monitorizacion,2026-02-27,activo
DEXAMETASONA + TOBRAMICINA SUSPENSIÓN OFTALMICA (1 mg + 3 mg) / vial,S01CA01,monitorizacion,2026-01-30,activo
DEXAMETASONA + TOBRAMICINA SOLUCIÓN OFTALMICA (1 mg + 3 mg) / vial,S01CA01,monitorizacion,2026-01-30,activo
DEXLANSOPRAZOL CÁPSULA DE LIBERACIÓN RETARDADA 30 mg y 60 mg,A02BC06,monitorizacion,2026-04-30,activo
DEXMEDETOMIDINA CLORHIDRATO SOLUCIÓN INYECTABLE 100 mcg / vial + 200 mcg / vial,N05CM18,monitorizacion,2026-03-25,activo
"DEXTROSA / GLUCOSA SOLUCIÓN INYECTABLE 5%, 10% Y 50%",B05CX01,monitorizacion,2025-07-14,activo
DIACEREINA CÁPSULA DURA Y TABLETA 50 mg,M01AX21,monitorizacion,2025-08-28,activo
DIFENHIDRAMINA HCl SOLUCION INYECTABLE 10 mg/ml,R06AA02,monitorizacion,2026-04-23,activo
DIFENHIDRAMINA SOLUCIÓN INYECTABLE 50 mg/ml,R06AA02,monitorizacion,2026-03-20,activo
DIPIRIDAMOL SOLUCION INYECTABLE 10 mg/2ml,B01AC07,monitorizacion,2026-02-27,activo
"DOBUTAMINA SOLUCIÓN INYECTABLE PARA INFUSIÓN 250 mg / 5 mL, 250 mg / 20 mL",C01CA07,monitorizacion,2025-08-29,activo
DOPAMINA SOLUCIÓN INYECTABLE 200 mg / 5 ml,C01CA04,monitorizacion,2025-09-30,activo
DORZOLAMIDA SOLUCION OFTALMICA 20 mg/ ml,S01EC03,monitorizacion,2025-10-31,activo
