"Id","CodigoATC","PrincipioActivo","RankingBusqueda","Resumen","FormaFarmaceutica","Aclaracion","ITEM","PrincipioActivo_Min","FormaFarmaceutica_Min","CoberturaPlanBeneficiosUPC","CoberturaPlanBeneficiosUPC_Min"
"11832","D11AX11","RETINÓICO ÁCIDO (TRETINOINA) + HIDROQUINONA","12270","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","862","retinóico ácido (tretinoina) + hidroquinona","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"11833","D10AF52 / D10AD51","RETINÓICO ÁCIDO (TRETINOINA)+ ERITROMICINA","11630","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","860","retinóico ácido (tretinoina)+ eritromicina","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"11834","D11AX11","RETINOICO ÁCIDO + HIDROQUINONA + MOMETASONA","20620","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Se prescribe vía: MIPRES","N/A","retinoico ácido + hidroquinona + mometasona","incluye todas las concentraciones y formas farmacéuticas","No Financiado con recursos de la Unidad de Pago por Capitación (MIPRES)","no financiado con recursos de la unidad de pago por capitación (mipres)"
"11835","A11CA01","RETINOL ( VITAMINA A)","6330","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","1039","retinol ( vitamina a)","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"11836","D02AB","RETINOL + ZINC + DIÓXIDO DE TITANIO","12330","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","863","retinol + zinc + dióxido de titanio","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"11837","J05AP01","RIBAVIRINA","920","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Se prescribe vía: MIPRES","N/A","ribavirina","incluye todas las concentraciones y formas farmacéuticas","No Financiado con recursos de la Unidad de Pago por Capitación (MIPRES)","no financiado con recursos de la unidad de pago por capitación (mipres)"
"11838","L01EF02","RIBOCICLIB","2250","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","864","ribociclib","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"11839","J04AB04","RIFABUTINA","720","Incluye todas las concentraciones y formas farmacéuticas consideradas necesarias por el Ministerio de Salud y Protección Social para cada programa","Incluye todas las concentraciones y formas farmacéuticas consideradas necesarias por el Ministerio de Salud y Protección Social para cada programa","Financiado con recursos de Salud pública en programas especiales de salud pública. Fuera de programas especiales de salud pública se prescribe vía: MIPRES","SP28","rifabutina","incluye todas las concentraciones y formas farmacéuticas consideradas necesarias por el ministerio de salud y protección social para cada programa","Financiación condicionada con recursos de la Unidad de Pago por Capitación (UPC)","financiación condicionada con recursos de la unidad de pago por capitación (upc)"
"11840","J04AB03 / D06AX15","RIFAMICINA","1920","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","865","rifamicina","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"11841","J04AB02","RIFAMPICINA","4250","Incluye todas las concentraciones y formas farmacéuticas consideradas necesarias por el Ministerio de Salud y Protección Social para cada programa","Incluye todas las concentraciones y formas farmacéuticas consideradas necesarias por el Ministerio de Salud y Protección Social para cada programa","Financiado con recursos de Salud pública en programas especiales de salud pública. Fuera de programas especiales de salud pública  se considera financiada con recursos de la UPC","866","rifampicina","incluye todas las concentraciones y formas farmacéuticas consideradas necesarias por el ministerio de salud y protección social para cada programa","Financiación condicionada con recursos de la Unidad de Pago por Capitación (UPC)","financiación condicionada con recursos de la unidad de pago por capitación (upc)"
"11842","J04AB02","RIFAMPICINA","4250","Incluye todas las concentraciones y formas farmacéuticas consideradas necesarias por el Ministerio de Salud y Protección Social para cada programa","Incluye todas las concentraciones y formas farmacéuticas consideradas necesarias por el Ministerio de Salud y Protección Social para cada programa","Financiado en usos diferentes a los programas especiales en salud pública dado que en estos programas el Ministerio de Salud y Protección Social suministra todas las formas farmacéuticas y concentraciones, según las normas técnicas y guías de atención para las enfermedades de interés en salud pública.Ver Anexo 4","SP29","rifampicina","incluye todas las concentraciones y formas farmacéuticas consideradas necesarias por el ministerio de salud y protección social para cada programa","Financiación condicionada con recursos de la Unidad de Pago por Capitación (UPC)","financiación condicionada con recursos de la unidad de pago por capitación (upc)"
"11843","J04BA51","RIFAMPICINA + CLOFAZIMINA + DAPSONA","6580","Incluye todas las concentraciones y formas farmacéuticas consideradas necesarias por el Ministerio de Salud y Protección Social para cada programa","Incluye todas las concentraciones y formas farmacéuticas consideradas necesarias por el Ministerio de Salud y Protección Social para cada programa","Financiado con recursos de Salud pública en programas especiales de salud pública. Fuera de programas especiales de salud pública se prescribe vía: MIPRES","SP30","rifampicina + clofazimina + dapsona","incluye todas las concentraciones y formas farmacéuticas consideradas necesarias por el ministerio de salud y protección social para cada programa","Financiación condicionada con recursos de la Unidad de Pago por Capitación (UPC)","financiación condicionada con recursos de la unidad de pago por capitación (upc)"
"11844","J04AM02","RIFAMPICINA + ISONIAZIDA","6420","Incluye todas las concentraciones y formas farmacéuticas consideradas necesarias por el Ministerio de Salud y Protección Social para cada programa","Incluye todas las concentraciones y formas farmacéuticas consideradas necesarias por el Ministerio de Salud y Protección Social para cada programa","Financiado con recursos de Salud pública en programas especiales de salud pública.","SP31","rifampicina + isoniazida","incluye todas las concentraciones y formas farmacéuticas consideradas necesarias por el ministerio de salud y protección social para cada programa","Financiación condicionada con recursos de la Unidad de Pago por Capitación (UPC)","financiación condicionada con recursos de la unidad de pago por capitación (upc)"
"11858","L01FA01","RITUXIMAB","13520","Incluye todas las concentraciones y formas farmacéuticas","Incluye todas las concentraciones y formas farmacéuticas","Sin dato","871","rituximab","incluye todas las concentraciones y formas farmacéuticas","Financiado con recursos de la Unidad de Pago por Capitación (UPC)","financiado con recursos de la unidad de pago por capitación (upc)"
"11845","J04AM05","RIFAMPICINA + ISONIAZIDA + PIRAZINAMIDA","6830","Incluye todas las concentraciones y formas farmacéuticas consideradas necesarias por el Ministerio de Salud y Protección Social para cada programa","Incluye todas las concentraciones y formas farmacéuticas consideradas necesarias por el Ministerio de Salud y Protección Social para cada programa","Financiado con recursos de Salud pública en programas especiales de salud pública.","SP32","rifampicina + isoniazida + pirazinamida","incluye todas las concentraciones y formas farmacéuticas consideradas necesarias por el ministerio de salud y protección social para cada programa","Financiación condicionada con recursos de la Unidad de Pago por Capitación (UPC)","financiación condicionada con recursos de la unidad de pago por capitación (upc)"
